FIRSTNAME | LASTNAME | TITLE | YEAR | TYPE | POSITION | GENDER
Peker | Acikalin | Hababam sinifi askerde  | 2005 | M |  | M
Peker | Acikalin | Hababam sinifi merhaba  | 2004 | M |  | M
Peker | Acikalin | Kolay para kazanma klavuzu  | 2002 | M |  | M
Peker | Acikalin | "Ekmek teknesi"  | 2002 | M |  | M
Dejan | Acimovic | Bal-Can-Can  | 2005 | M | 9 | M
Dejan | Acimovic | Bogorodica  | 1999 | M |  | M
Dejan | Acimovic | Bozic u Becu  | 1997 | M |  | M
Dejan | Acimovic | Caruga  | 1991 | M |  | M
Dejan | Acimovic | Cetverored  | 1999 | M | 13 | M
Dejan | Acimovic | Diploma za smrt  | 1989 | M |  | M
Dejan | Acimovic | Druzba Isusova  | 2004 | M |  | M
Dejan | Acimovic | Felix  | 1996 | M |  | M
Dejan | Acimovic | Gornja granica  | 1995 | V |  | M
Dejan | Acimovic | Hermano  | 2003 | M | 8 | M
Dejan | Acimovic | Iluzija  | 2004 | M |  | M
Dejan | Acimovic | Infekcija  | 2003 | M |  | M
Dejan | Acimovic | Je li jasno prijatelju?  | 2000 | a | 28 | M
Dejan | Acimovic | Konjanik  | 2003 | M |  | M
Dejan | Acimovic | Ljeto za sjecanje  | 1990 | M |  | M
Dejan | Acimovic | Mathilde  | 2004 | M | 3 | M
Dejan | Acimovic | Olovna pricest  | 1995 | TV |  | M
Dejan | Acimovic | Peacemaker, The  | 1997 | M | 17 | M
Dejan | Acimovic | Posebna voznja  | 1995 | TV |  | M
Dejan | Acimovic | Prezimiti u Riu  | 2002 | M |  | M
Dejan | Acimovic | Prolazi sve  | 1995 | M |  | M
Dejan | Acimovic | Radio West  | 2003 | M | 7 | M
Dejan | Acimovic | Remake  | 2003 | M | 4 | M
Dejan | Acimovic | Vukovar se vraca kuci  | 1994 | M |  | M
Dejan | Acimovic | Zbogum na dvadesetiot vek  | 1998 | M |  | M
Dejan | Acimovic | Zivot sa stricem  | 1988 | M | 11 | M
Dejan | Acimovic | Zlatne godine  | 1992 | M |  | M
Dejan | Acimovic | "Crna hronika"  | 2004 | M |  | M
Dejan | Acimovic | "Novo doba"  | 2002 | mini |  | M
Andrej | Acin | Bye Bye Blackbird  | 2004 | M |  | M
Ángel | Acinas | Hay que matar a B.  | 1975 | M |  | M
Ángel | Acinas | Mitad del cielo, La  | 1986 | M | 25 | M
Luis | Acinella | Get Out of My Room  | 1985 | M | 49 | M
Roberto | Acinelli | Darse cuenta  | 1984 | M |  | M
James | Ackel | "Turma do Sete, A"  | 1964 | M |  | M
J.J. | Ackell | Zelimo  | 2001 | M |  | M
 | Acker | Hot Sessions 11  | 2000 | V |  | M
 | Acker | Hot Sessions 12  | 2000 | V |  | M
 | Acker | Young, Hard, & Solo #2  | 1996 | V |  | M
 | Acker | Young, Hard, & Solo #3  | 1996 | V |  | M
 | Acker Bilk and His Paramount Jazz Band | It's Trad, Dad!  | 1962 | M |  | M
Aaron | Acker | Night and Day  | 2003 | M | 15 | M
Anthony | Acker | Moonbase  | 1998 | M | 22 | M
Anthony | Acker | Scary Movie 2  | 2001 | M | 17 | M
Ben | Acker | Natie the Pirate  | 1998 | M |  | M
Berko | Acker | Achillesferse  | 1978 | M |  | M
Berko | Acker | Bis daß der Tod euch scheidet  | 1979 | M | 9 | M
Berko | Acker | Brandstellen  | 1978 | M |  | M
Berko | Acker | Dagny  | 1977 | M |  | M
Berko | Acker | Drei Mädchen im Endspiel  | 1956 | M |  | M
Berko | Acker | Im Himmel ist doch Jahrmarkt  | 1969 | M |  | M
Berko | Acker | Mädchen auf dem Brett, Das  | 1967 | M | 21 | M
Berko | Acker | Polizeiruf 110 - Alarm am See  | 1973 | TV | 7 | M
Berko | Acker | Tambari  | 1977 | M |  | M
Berko | Acker | Verlorene Engel, Der  | 1966 | M |  | M
Berko | Acker | "Frauen der Wardins, Die"  | 1974 | mini |  | M
Berko | Acker | "Wege übers Land"  | 1968 | mini | 31 | M
Eugene (II) | Acker | Blow Your Own Horn  | 1923 | M | 4 | M
Eugene (II) | Acker | Cave on Thunder Cloud, The  | 1915 | M |  | M
Eugene (II) | Acker | Charming Deceiver, The  | 1921 | M | 4 | M
Eugene (II) | Acker | Dignified Family, A  | 1915 | M | 4 | M
Eugene (II) | Acker | Fable of Hazel's Two Husbands and What Became of Them, The  | 1915 | M | 3 | M
Eugene (II) | Acker | Fable of the Through Train, The  | 1915 | M |  | M
Eugene (II) | Acker | Her Lord and Master  | 1921 | M | 7 | M
Eugene (II) | Acker | Man Worthwhile, The  | 1921 | M | 3 | M
Eugene (II) | Acker | My Four Years in Germany  | 1918 | M |  | M
Eugene (II) | Acker | Sylvia on a Spree  | 1918 | M | 4 | M
Eugene (II) | Acker | Trail of the Cigarette, The  | 1920 | M | 3 | M
Eugene (II) | Acker | Vanity Fair  | 1923 | M | 13 | M
Norman | Acker | Hate  | 1917 | M | 3 | M
Ron | Acker | Night and Day  | 2003 | M | 11 | M
Steve | Acker | Killing Game, The  | 1988 | M |  | M
Trey | Acker | Night and Day  | 2003 | M |  | M
Chris | Ackerknecht | Sergio Lapel's Drawing Blood  | 1999 | M | 9 | M
John | Ackerman Jr. | Transmissions  | 2004 | M | 10 | M
A.D. | Ackerman | Malibu High  | 1979 | M | 16 | M
Al | Ackerman | Tiger Town  | 1983 | TV | 17 | M
Alexandre | Ackerman | Lost Zweig  | 2002 | M |  | M
Alexandre | Ackerman | "Salvador da Pátria, O"  | 1989 | M |  | M
Boyd | Ackerman | Around the World in Eighty Days  | 1956 | M |  | M
Boyd | Ackerman | Show Boat  | 1951 | M |  | M
Boyd | Ackerman | Up in Central Park  | 1948 | M |  | M
Bradley | Ackerman | Kenny & Company  | 1976 | M | 17 | M
Bruce | Ackerman | China O'Brien II  | 1991 | M | 17 | M
Chris | Ackerman | Elektra  | 2005 | M | 9 | M
Don (II) | Ackerman | 2 Frogs in the West  | 2004 | M |  | M
Don (II) | Ackerman | Brewster McGee  | 2000 | M | 3 | M
Don (II) | Ackerman | Connie and Carla  | 2004 | M | 13 | M
Don (II) | Ackerman | Final Cut, The  | 2004 | M | 17 | M
Don (II) | Ackerman | Glitter  | 2001 | M | 12 | M
Don (II) | Ackerman | Jack & Jill  | 1998 | M | 5 | M
Don (II) | Ackerman | Punch  | 2002 | M | 7 | M
Don (II) | Ackerman | Wild Iris  | 2001 | TV |  | M
Don (II) | Ackerman | "Human Cargo"  | 2004 | mini | 43 | M
Don (III) | Ackerman | Champ's a Chump, The  | 1936 | M |  | M
Don (III) | Ackerman | One in a Million  | 1936 | M |  | M
Don (III) | Ackerman | Star for a Night  | 1936 | M |  | M
Don (III) | Ackerman | Time Out for Rhythm  | 1941 | M |  | M
Forrest J | Ackerman | Aftermath, The  | 1982 | M |  | M
Forrest J | Ackerman | Amazon Women on the Moon  | 1987 | M | 19 | M
Forrest J | Ackerman | American Scary  | 2004 | M |  | M
Forrest J | Ackerman | Attack of the 50 Foot Monster Mania  | 1999 | TV |  | M
Forrest J | Ackerman | Attack of the 60 Foot Centerfold  | 1995 | M | 29 | M
Forrest J | Ackerman | Attack of the B-Movie Monster  | 2002 | V | 7 | M
Forrest J | Ackerman | Beverly Hills Cop III  | 1994 | M |  | M
Forrest J | Ackerman | Big, Fat and Tacky: A Trip to Karloffornia  | 2003 | M |  | M
Forrest J | Ackerman | Bikini Drive-In  | 1995 | M | 17 | M
Forrest J | Ackerman | Braindead  | 1992 | M | 46 | M
Forrest J | Ackerman | Ceremony  | 1994 | M | 2 | M
Forrest J | Ackerman | Curse of the Queerwolf  | 1988 | M | 16 | M
Forrest J | Ackerman | Dinosaur Movies  | 1993 | V | 3 | M
Forrest J | Ackerman | Dinosaur Valley Girls  | 1996 | M | 17 | M
Forrest J | Ackerman | Double-D Avenger, The  | 2001 | V | 4 | M
Forrest J | Ackerman | Dracula Vs. Frankenstein  | 1971 | a | 14 | M
Forrest J | Ackerman | Drive-In Madness!  | 1987 | M |  | M
Forrest J | Ackerman | Equinox  | 1970 | M |  | M
Forrest J | Ackerman | Evil Spawn  | 1987 | M | 14 | M
Forrest J | Ackerman | Fangoria's Weekend of Horrors  | 1986 | V |  | M
Forrest J | Ackerman | Farmer's Daughter, The  | 1947 | M |  | M
Forrest J | Ackerman | Flying Saucers Over Hollywood: The Plan 9 Companion  | 1992 | V |  | M
Forrest J | Ackerman | Future War  | 1997 | M | 15 | M
Forrest J | Ackerman | Hard to Die  | 1990 | M | 12 | M
Forrest J | Ackerman | Heartstoppers: Horror at the Movies  | 1992 | TV |  | M
Forrest J | Ackerman | Hey, Rookie  | 1944 | M |  | M
Forrest J | Ackerman | History of the SF Film, The  | 1982 | TV |  | M
Forrest J | Ackerman | Hollywood Aliens & Monsters  | 1997 | TV | 1 | M
Forrest J | Ackerman | Hollywood Boulevard  | 1976 | M |  | M
Forrest J | Ackerman | Hollywood Dinosaur Chronicles  | 1987 | M | 2 | M
Forrest J | Ackerman | Hollywood Goes Ape!  | 1994 | M |  | M
Forrest J | Ackerman | Hollywood Rated 'R'  | 1997 | M |  | M
Forrest J | Ackerman | Homestretch, The  | 1947 | M |  | M
Forrest J | Ackerman | Horror Hall of Fame, The  | 1990 | TV |  | M
Forrest J | Ackerman | Howling, The  | 1981 | M |  | M
Forrest J | Ackerman | Innocent Blood  | 1992 | M | 24 | M
Forrest J | Ackerman | Keepers of the Frame  | 1999 | M |  | M
Forrest J | Ackerman | Kentucky Fried Movie, The  | 1977 | M | 68 | M
Forrest J | Ackerman | Laughing Dead, The  | 1989 | M | 41 | M
Forrest J | Ackerman | Letter to an Angel  | 1996 | V |  | M
Forrest J | Ackerman | Lon Chaney: A Thousand Faces  | 2000 | TV |  | M
Forrest J | Ackerman | Making of 'The Double-D Avenger', The  | 2004 | V |  | M
Forrest J | Ackerman | Monsterama: Basil Gogos  | 2004 | TV |  | M
Forrest J | Ackerman | Monsterama: The Ackermonster  | 2004 | TV |  | M
Forrest J | Ackerman | Mr. Science Fiction's Fantastic Universe  | 1988 | M | 1 | M
Forrest J | Ackerman | My Life with Count Dracula  | 2003 | M |  | M
Forrest J | Ackerman | My Lovely Monster  | 1990 | M | 3 | M
Forrest J | Ackerman | My Mom's a Werewolf  | 1989 | M |  | M
Forrest J | Ackerman | Norwegian Actresses in Hollywood  | 2003 | TV | 9 | M
Forrest J | Ackerman | Nudist Colony of the Dead  | 1991 | M | 1 | M
Forrest J | Ackerman | Polish Vampire: Behind the Fangs  | 2001 | V |  | M
Forrest J | Ackerman | Power, The  | 1968 | M |  | M
Forrest J | Ackerman | Queen of Blood  | 1966 | M | 10 | M
Forrest J | Ackerman | Return of the Living Dead Part II  | 1988 | M |  | M
Forrest J | Ackerman | Ringers: Lord of the Fans  | 2005 | M |  | M
Forrest J | Ackerman | Scalps  | 1983 | M | 10 | M
Forrest J | Ackerman | Schlock  | 1973 | M | 10 | M
Forrest J | Ackerman | Schlock! The Secret History of American Movies  | 2001 | M | 1 | M
Forrest J | Ackerman | Secret Lives: L. Ron Hubbard  | 1997 | TV |  | M
Forrest J | Ackerman | Shock Cinema Vol. 2  | 1991 | V |  | M
Forrest J | Ackerman | Skinned Deep  | 2004 | M |  | M
Forrest J | Ackerman | Texas Chainsaw Massacre: A Family Portrait  | 1988 | V |  | M
Forrest J | Ackerman | That Little Monster  | 1994 | M | 5 | M
Forrest J | Ackerman | Thriller  | 1983 | TV |  | M
Forrest J | Ackerman | Time Travelers, The  | 1964 | M | 15 | M
Forrest J | Ackerman | Transylvania Twist  | 1990 | M |  | M
Forrest J | Ackerman | Universal Horror  | 1998 | TV |  | M
Forrest J | Ackerman | Vampire Hunters Club, The  | 2001 | V | 4 | M
Forrest J | Ackerman | Vampirella  | 1996 | V |  | M
Forrest J | Ackerman | Wizard of Speed and Time, The  | 1989 | M | 149 | M
Forrest J | Ackerman | "Lugosi: The Forgotten King"  | 1985 | M | 1 | M
Howard | Ackerman | Man Who Saw Tomorrow, The  | 1980 | M | 9 | M
J. Hunter | Ackerman | Boystown  | 2005 | TV | 1 | M
Jack (I) | Ackerman | Capone  | 1975 | M | 35 | M
Jack (I) | Ackerman | Intoccabili, Gli  | 1968 | M |  | M
Jack (I) | Ackerman | Killing of a Chinese Bookie, The  | 1976 | M | 18 | M
Jack (I) | Ackerman | Lepke  | 1975 | M | 9 | M
Jack (I) | Ackerman | Shadows  | 1959 | M | 12 | M
James | Ackerman | WarGames  | 1983 | M | 40 | M
Jan | Ackerman | Dudes  | 1987 | a |  | M
Jan | Ackerman | Punk's Not Dead  | 2004 | a |  | M
Jan | Ackerman | Suburbia  | 1984 | M | 83 | M
John | Ackerman | Hero  | 1992 | M | 40 | M
Josh | Ackerman | American Chai  | 2001 | M | 4 | M
Josh | Ackerman | Evolution  | 2001 | a | 37 | M
Josh | Ackerman | MMC In Concert  | 1993 | TV |  | M
Josh | Ackerman | Painting, The  | 2002 | M | 9 | M
Josh | Ackerman | Pearl Harbor  | 2001 | a | 76 | M
Josh | Ackerman | Smear  | 1997 | M | 5 | M
Josh | Ackerman | "Emerald Cove"  | 1993 | M | 13 | M
Josh | Ackerman | "MMC"  | 1989 | M | 1 | M
Josh | Ackerman | "Random Years, The"  | 2002 | a | 2 | M
Justin | Ackerman | Slice of Terror, A  | 2004 | V |  | M
Karl | Ackerman | Groove  | 2000 | M | 30 | M
Luca | Ackerman | Beethoven Lives Upstairs  | 1989 | TV |  | M
Mike | Ackerman | "Timeblazers"  | 2003 | M | 1 | M
Nelson | Ackerman | Aftermath, The  | 1982 | M |  | M
Noah | Ackerman | One Man's Castle  | 2003 | M |  | M
Peter | Ackerman | Astronomy of Errors  | 2000 | M | 5 | M
Peter | Ackerman | Gidget's Summer Reunion  | 1985 | TV | 15 | M
Peter | Ackerman | Ice Age  | 2002 | voice | 13 | M
Randy | Ackerman | In the Line of Duty: Ambush in Waco  | 1993 | TV |  | M
Randy | Ackerman | Party Crasher: My Bloody Birthday  | 2000 | M | 1 | M
Robert (I) | Ackerman | After the Shock  | 1990 | TV | 16 | M
Robert (I) | Ackerman | Bloodlines: Murder in the Family  | 1993 | TV | 51 | M
Robert (I) | Ackerman | Dead Silence  | 1991 | TV | 12 | M
Robert (I) | Ackerman | Deadly Medicine  | 1991 | TV |  | M
Robert (I) | Ackerman | Elephant Parts  | 1981 | V |  | M
Robert (I) | Ackerman | It's My Turn  | 1980 | M | 17 | M
Robert (I) | Ackerman | Shoot the Moon  | 1982 | M | 25 | M
Robert (I) | Ackerman | Stargate  | 1994 | M | 38 | M
Ron | Ackerman | Death Machines  | 1976 | M |  | M
Seth | Ackerman | Peace, Propaganda & the Promised Land  | 2004 | V |  | M
Sherri | Ackerman | Billy Jack Goes to Washington  | 1977 | M |  | M
Stanley | Ackerman | America  | 1986 | M | 27 | M
Stanley | Ackerman | Bananas  | 1971 | M | 14 | M
Stanley | Ackerman | Stardust Memories  | 1980 | M | 49 | M
Stanley | Ackerman | Take the Money and Run  | 1969 | M |  | M
Walter | Ackerman | Aflame in the Sky  | 1927 | M | 9 | M
Walter | Ackerman | Back to God's Country  | 1927 | M | 7 | M
Walter | Ackerman | Bride of the Desert  | 1929 | M | 5 | M
Walter | Ackerman | Man of the Forest  | 1926 | M | 12 | M
Walter | Ackerman | Midsummer Night's Dream, A  | 1909 | M |  | M
Walter | Ackerman | Rugged Water  | 1925 | M | 9 | M
Will | Ackerman | Solace: A Windham Hill Collection  | 1999 | V |  | M
William (II) | Ackerman | Lobster Man from Mars  | 1989 | M | 19 | M
Willis | Ackerman | Jigsaw  | 1999 | V | 13 | M
Woolsey | Ackerman | Memories of Oz  | 2001 | TV |  | M
Louis | Ackerman-Oerton | Rage  | 1999 | M | 24 | M
Curt | Ackermann | Damals  | 1943 | M |  | M
Curt | Ackermann | Drunter und drüber  | 1939 | M |  | M
Curt | Ackermann | Geheimnisvolle Mister X, Der  | 1936 | M |  | M
Curt | Ackermann | Im Stahlnetz des Dr. Mabuse  | 1961 | voice |  | M
Curt | Ackermann | Kaplan von San Lorenzo, Der  | 1952 | M | 12 | M
Curt | Ackermann | Kommissar X - In den Klauen des goldenen Drachen  | 1966 | voice |  | M
Curt | Ackermann | Mann mit Grundsätzen?, Ein  | 1943 | M | 8 | M
Curt | Ackermann | Meier  | 1985 | M |  | M
Curt | Ackermann | Mordnacht in Manhattan  | 1965 | voice |  | M
Curt | Ackermann | Mörderclub von Brooklyn, Der  | 1967 | voice |  | M
Curt | Ackermann | Philharmoniker  | 1944 | M | 15 | M
Curt | Ackermann | Sag' die Wahrheit  | 1946 | M | 14 | M
Curt | Ackermann | Signal in der Nacht  | 1937 | M |  | M
Curt | Ackermann | Tausend Augen des Dr. Mabuse, Die  | 1960 | voice |  | M
Curt | Ackermann | Tätowierung  | 1967 | voice |  | M
Curt | Ackermann | Unheimliche Helene, Die  | 1936 | M |  | M
Curt | Ackermann | Verzauberte Tag, Der  | 1944 | M |  | M
Curt | Ackermann | Winnetou - 1. Teil  | 1963 | voice |  | M
Curt | Ackermann | Winnetou - 2. Teil  | 1964 | voice |  | M
Curt | Ackermann | Winnetou - 3. Teil  | 1965 | voice |  | M
Curt | Ackermann | Yvette  | 1938/I | M | 20 | M
Curt | Ackermann | Zimmermädchen... Dreimal klingeln  | 1934 | M |  | M
Hermann | Ackermann | Long Shot  | 2002/II | M |  | M
Kurt (I) | Ackermann | Jackpot  | 1996/I | TV |  | M
Kurt (I) | Ackermann | Krankensaal 6  | 1974 | M | 13 | M
Kurt (I) | Ackermann | Loriot - Weihnachten bei den Hoppenstedts  | 1997 | TV |  | M
Kurt (I) | Ackermann | Loriots 80. Geburtstag  | 2003 | TV |  | M
Kurt (I) | Ackermann | Mein Sohn, der Minister  | 1982 | TV | 8 | M
Kurt (I) | Ackermann | Männer vom K3 - Narkose fürs Jenseits, Die  | 1991 | TV | 15 | M
Kurt (I) | Ackermann | Schrei der Eule, Der  | 1987 | TV | 13 | M
Kurt (I) | Ackermann | Zerbrochene Brücken  | 1986 | TV |  | M
Kurt (I) | Ackermann | "Bertinis, Die"  | 1989 | mini |  | M
Kurt (I) | Ackermann | "Erbe der Guldenburgs, Das"  | 1987 | M | 43 | M
Kurt (I) | Ackermann | "Freunde fürs Leben"  | 1992 | M | 19 | M
Kurt (I) | Ackermann | "Loriot"  | 1976 | M |  | M
Kurt (I) | Ackermann | "PS - Geschichten ums Auto"  | 1975 | mini |  | M
Kurt (I) | Ackermann | "Schaurige Geschichten"  | 1975 | M |  | M
Kurt (I) | Ackermann | "St. Pauli Landungsbrücken"  | 1979 | M |  | M
Kurt (II) | Ackermann | Lustigen Weiber, Die  | 1936 | M | 20 | M
Martin | Ackermann | Im Namen der Gerechtigkeit  | 2001 | TV |  | M
Rainer | Ackermann | Eismeer ruft, Das  | 1984 | M | 17 | M
Ralf | Ackermann | Sommer  | 1988 | M |  | M
Thilo | Ackermann | Zurück auf Los!  | 2000 | M |  | M
Willi | Ackermann | Abenteuer in Marokko  | 1938 | M |  | M
Willi | Ackermann | Bider der Flieger  | 1941 | M | 7 | M
Willi | Ackermann | Es liegt was in der Luft  | 1950 | M |  | M
Willi | Ackermann | Wachtmeister Studer  | 1939 | M | 16 | M
Jan | Ackermans | Sur la terre comme au ciel  | 1992 | voice | 23 | M
Maxi | Ackers | Brennendes Land  | 1921 | M |  | M
David | Ackert | Cool Crime  | 1999 | M |  | M
David | Ackert | Entropy  | 1999/II | M |  | M
David | Ackert | Guardian  | 2000 | M | 16 | M
David | Ackert | Helter Skelter  | 2004 | TV | 30 | M
David | Ackert | Maryam  | 2000 | M | 2 | M
David | Ackert | Suckers  | 1999/I | M | 4 | M
David | Ackert | Woman on Fire  | 2002 | M | 2 | M
David | Ackert | "Crossroads Café"  | 1996 | M | 1 | M
Ramin | Ackert | Whispering, The  | 1996 | M | 24 | M
Richard | Acket | Maîtresse en maillot de bain, La  | 2002 | M | 16 | M
Rasmus | Acking | Känd från TV  | 2001 | M |  | M
Randi | Ackiwenzie | "You Can't Do That on Television"  | 1979 | M |  | M
Joss | Ackland | Access to the Children  | 1973 | TV |  | M
Joss | Ackland | Adventures of Young Indiana Jones: Adventures in the Secret Service, The  | 1999 | V | 6 | M
Joss | Ackland | Angus Slowly Sinking?  | 1965 | TV |  | M
Joss | Ackland | Apple, The  | 1980 | M | 5 | M
Joss | Ackland | Asylum  | 2005/I | M |  | M
Joss | Ackland | Bankrupt, The  | 1972 | TV |  | M
Joss | Ackland | Barretts of Wimpole Street, The  | 1982 | TV | 2 | M
Joss | Ackland | Before the Party  | 1969 | TV | 2 | M
Joss | Ackland | Bill & Ted's Bogus Journey  | 1991 | M | 4 | M
Joss | Ackland | Black Windmill, The  | 1974 | M | 6 | M
Joss | Ackland | Bridge, The  | 1992 | M | 3 | M
Joss | Ackland | Citizen X  | 1995 | TV | 5 | M
Joss | Ackland | Codename: Kyril  | 1988 | TV | 3 | M
Joss | Ackland | Crescendo  | 1970 | M | 5 | M
Joss | Ackland | D3: The Mighty Ducks  | 1996 | M | 6 | M
Joss | Ackland | Daisies in December  | 1995 | TV | 1 | M
Joss | Ackland | Dangerous Davies - The Last Detective  | 1981 | M | 3 | M
Joss | Ackland | Day of Wrath  | 2005 | M |  | M
Joss | Ackland | Deadly Voyage  | 1996 | TV | 2 | M
Joss | Ackland | Death of a Salesman  | 1966/I | TV |  | M
Joss | Ackland | Different Loyalty, A  | 2004 | M | 16 | M
Joss | Ackland | Dimenticare Palermo  | 1990 | M | 3 | M
Joss | Ackland | England Made Me  | 1973 | M | 4 | M
Joss | Ackland | Fall of the Goat  | 1967 | TV | 1 | M
Joss | Ackland | Firelight  | 1997 | M | 6 | M
Joss | Ackland | First and Last  | 1989 | TV | 1 | M
Joss | Ackland | Focus  | 1966 | TV |  | M
Joss | Ackland | Getting In  | 1971 | TV |  | M
Joss | Ackland | Ghost Ship  | 1952 | M | 11 | M
Joss | Ackland | Gioco di specchi  | 2000 | TV | 5 | M
Joss | Ackland | Giorgino  | 1994 | M | 3 | M
Joss | Ackland | Great Expectations  | 1974 | TV | 7 | M
Joss | Ackland | Greek Tycoon, The  | 1978 | M |  | M
Joss | Ackland | Happiness Cage, The  | 1972 | M | 3 | M
Joss | Ackland | Henry VIII  | 2003 | TV | 2 | M
Joss | Ackland | Hidden in Silence  | 1996 | TV |  | M
Joss | Ackland | Hitler: The Last Ten Days  | 1973 | M |  | M
Joss | Ackland | House on Turk Street, The  | 2002 | M | 6 | M
Joss | Ackland | House That Dripped Blood, The  | 1970 | M | 10 | M
Joss | Ackland | Hunt for Red October, The  | 1990 | M | 6 | M
Joss | Ackland | I'll Be There  | 2003 | M | 4 | M
Joss | Ackland | Icon  | 2005 | TV |  | M
Joss | Ackland | In Search of the Castaways  | 1962 | M |  | M
Joss | Ackland | Incident at Victoria Falls  | 1991 | TV |  | M
Joss | Ackland | It Couldn't Happen Here  | 1987 | M | 3 | M
Joss | Ackland | Jacob  | 1994 | TV | 4 | M
Joss | Ackland | Jekyll & Hyde  | 1990 | TV | 3 | M
Joss | Ackland | Justice Game, The  | 1989 | TV |  | M
Joss | Ackland | K-19: The Widowmaker  | 2002 | M | 17 | M
Joss | Ackland | Kid in King Arthur's Court, A  | 1995 | M | 2 | M
Joss | Ackland | Kings Cross  | 1972 | TV |  | M
Joss | Ackland | Lady Jane  | 1986 | M | 10 | M
Joss | Ackland | Lara Croft Tomb Raider: The Angel of Darkness  | 2003 | VG | 3 | M
Joss | Ackland | Lethal Weapon 2  | 1989 | M | 4 | M
Joss | Ackland | Lie, The  | 1970 | TV | 7 | M
Joss | Ackland | Little Prince, The  | 1974 | M | 5 | M
Joss | Ackland | Lord Raingo  | 1966 | TV | 3 | M
Joss | Ackland | Lounge Act  | 2000 | voice |  | M
Joss | Ackland | Love Tapes, The  | 1980 | TV |  | M
Joss | Ackland | Mad Dogs and Englishmen  | 1995 | M | 1 | M
Joss | Ackland | Mighty Ducks, The  | 1992 | M | 2 | M
Joss | Ackland | Milk  | 1999/I | M | 3 | M
Joss | Ackland | Miracle on 34th Street  | 1994 | M |  | M
Joss | Ackland | Mother's Boys  | 1994 | M | 8 | M
Joss | Ackland | Mozart 1991  | 1992 | M |  | M
Joss | Ackland | Mr. Forbush and the Penguins  | 1971 | M | 7 | M
Joss | Ackland | Mumbo Jumbo, The  | 2000 | M | 3 | M
Joss | Ackland | Murder of Quality, A  | 1991 | TV | 2 | M
Joss | Ackland | My Giant  | 1998 | M |  | M
Joss | Ackland | Next to No Time  | 1959 | M |  | M
Joss | Ackland | Nightingale Sang in Berkeley Square, A  | 1979 | M |  | M
Joss | Ackland | Nowhere to Run  | 1993 | M | 8 | M
Joss | Ackland | Object of Beauty, The  | 1991 | M | 5 | M
Joss | Ackland | OcchioPinocchio  | 1994 | M | 3 | M
Joss | Ackland | On the March to the Sea  | 1966 | TV |  | M
Joss | Ackland | Once Upon a Crime...  | 1992 | M | 10 | M
Joss | Ackland | One of Our Dinosaurs Is Missing  | 1975 | M | 9 | M
Joss | Ackland | Operation Daybreak  | 1975 | M | 3 | M
Joss | Ackland | Othello  | 2002 | TV | 22 | M
Joss | Ackland | Painting Faces  | 2001 | M |  | M
Joss | Ackland | Passion of Mind  | 2000 | M | 6 | M
Joss | Ackland | Penny Gold  | 1973 | M | 5 | M
Joss | Ackland | Pet Shop Boys: Pop Art - The Videos  | 2003 | V |  | M
Joss | Ackland | Pet Shop Boys: Show Business  | 1988 | V |  | M
Joss | Ackland | Pet Shop Boys: Videography  | 1991 | V |  | M
Joss | Ackland | Place of One's Own, A  | 1968 | TV |  | M
Joss | Ackland | Princess and the Goblin, The  | 1993 | voice |  | M
Joss | Ackland | Queenie  | 1987 | TV |  | M
Joss | Ackland | Rasputin: The Mad Monk  | 1966 | M | 9 | M
Joss | Ackland | Room 13  | 1966 | TV |  | M
Joss | Ackland | Rough Cut  | 1980 | M | 8 | M
Joss | Ackland | Royal Flash  | 1975 | M | 6 | M
Joss | Ackland | S*P*Y*S  | 1974 | M | 4 | M
Joss | Ackland | Saint Jack  | 1979 | M |  | M
Joss | Ackland | Secret Life of Ian Fleming, The  | 1990 | TV | 3 | M
Joss | Ackland | Sen noci svatojanske  | 1959 | voice |  | M
Joss | Ackland | Seven Days to Noon  | 1950 | M |  | M
Joss | Ackland | Shadowchaser  | 1992 | M | 5 | M
Joss | Ackland | Shadowlands  | 1985 | TV |  | M
Joss | Ackland | Sheltering Desert, The  | 1992 | M | 3 | M
Joss | Ackland | Sicilian, The  | 1987 | M | 3 | M
Joss | Ackland | Silver Bears  | 1978 | M | 11 | M
Joss | Ackland | Six Faces: Gallery of Faces  | 1972 | TV |  | M
Joss | Ackland | Six Faces: True Life  | 1972 | TV |  | M
Joss | Ackland | Story of the SAS, The  | 1999 | V |  | M
Joss | Ackland | Strange Case of the End of Civilization as We Know It, The  | 1977 | M | 5 | M
Joss | Ackland | Surviving Picasso  | 1996 | M | 4 | M
Joss | Ackland | Swept from the Sea  | 1997 | M | 4 | M
Joss | Ackland | They Do It with Mirrors  | 1991 | TV | 3 | M
Joss | Ackland | Three Musketeers, The  | 1973 | M | 15 | M
Joss | Ackland | Three Sisters, The  | 1970 | TV |  | M
Joss | Ackland | To Kill a Priest  | 1988 | M | 3 | M
Joss | Ackland | To the Ends of Time  | 1996 | TV | 1 | M
Joss | Ackland | Tomorrow Just You Wait  | 1965 | TV | 6 | M
Joss | Ackland | Tragedy of Coriolanus, The  | 1984 | TV | 6 | M
Joss | Ackland | Tre colonne in cronaca  | 1990 | M | 4 | M
Joss | Ackland | Villain  | 1971 | M | 7 | M
Joss | Ackland | Voices in the Garden  | 1993 | TV | 2 | M
Joss | Ackland | Watership Down  | 1978 | voice | 20 | M
